,Friedel_et_al_B_cells,Tani_et_al_Hela,Schofield_et_al_K562,Mele_et_al_K562,Mele_et_al_H1-ESC,Wu_et_al_K562,Wu_et_al_293T,Arango_et_al_Hela,Wachutka_et_al_K562
ENSG00000007255,,2.25,,,,,0.0590680998025602,4.96414120327089,
ENSG00000007264,,9.33,,,,,0.0260708726023298,6.31898264527303,
ENSG00000007312,137.8,,,,,,,,
ENSG00000007314,,,,,6.466064333333333,,-0.0318067925310497,2.94126601387471,
ENSG00000007341,,9.27,,5.408118666666667,7.675408666666667,-0.154055929,0.0122521161105538,3.7291923299701,434.52568665128996
ENSG00000007350,,,,,,,0.105930632930237,,
ENSG00000007372,,2.17,,3.350147666666667,,-0.272772402,-0.0752075464095971,2.45203448547229,175.22624957794997
ENSG00000007376,163.2,4.94,1.5488,3.210797,4.984457333333333,-0.100931129,0.0157243461041202,3.59847336450198,437.84745698347604
ENSG00000007384,,3.77,,,,,0.0291852421287117,3.25285772886305,383.21433470923205
ENSG00000007392,153.3,2.74,1.3422,3.0473200000000005,6.251868333333333,-0.072306812,-0.0282676195196441,2.62639082250726,167.916895894081
ENSG00000007402,,,,,,,0.0660755179250129,,
ENSG00000007516,,4.44,,,,,0.00232000908117742,,
ENSG00000007520,,10.0,,8.332735,,,0.0216240547287653,4.81476680349995,542.66262614191
ENSG00000007541,,6.15,,10.98708,,,0.161668913631994,3.33760276135719,
ENSG00000007545,,2.94,,1.9412303333333334,2.9840913333333337,-0.164888401,-0.0563379227707125,,153.532470600814
ENSG00000007866,,3.57,,2.354937,,-0.105754952,-0.026144267988407,3.02636817551152,542.569657260563
ENSG00000007923,375.2,8.0,2.85675,4.9521836666666665,15.524763333333334,-0.081578202,0.0111401116174577,3.20368439145658,121.292605627884
ENSG00000007944,,2.11,0.40454999999999997,1.3038183333333333,1.185714,-0.327090135,-0.0865233045350933,,73.01053228297879
ENSG00000007952,,,,,,,0.047521057276165,,
ENSG00000007968,149.4,2.44,0.363,1.637454,,-0.238590987,-0.0677914753946936,2.46188963900527,161.899123447368
ENSG00000008018,367.2,,6.84845,16.269666666666666,13.606243333333333,-0.047827485,0.0415757742607533,11.0089480240629,348.094680642605
ENSG00000008056,,,,,7.6795963333333335,,,,
ENSG00000008083,148.1,2.63,0.52365,1.7576583333333333,2.850616,-0.170260888,-0.0477099658596707,2.39843214589105,188.824811388219
ENSG00000008086,,3.03,,,1.9895433333333337,,-0.0205603978848512,2.50300172264124,
ENSG00000008128,,,,16.31323,,,0.0362278862775279,,167.594788350365
ENSG00000008130,313.7,5.11,2.46845,8.20151,,,0.0169281342574449,3.37934740103604,479.367391428476
ENSG00000008196,,,,,,,,,125.334184809585
ENSG00000008256,,4.36,0.96225,3.549441,3.9911480000000004,-0.120300794,0.0370688019709307,2.8838663495348,500.601728655935
ENSG00000008277,,2.53,,,7.35531,,-0.0410056360111105,4.09870306212005,
ENSG00000008282,443.8,10.63,,6.667176,7.092422333333334,-0.107233214,0.052897726679028,4.50156824063942,690.411676925508
ENSG00000008283,,5.64,,,,-0.047462758,-0.00822522521576641,3.45215687411196,197.497781430565
ENSG00000008294,263.2,9.45,2.7062,6.847048333333333,,-0.160329958,0.0151202146113936,3.6086725834189,257.258352423582
ENSG00000008300,173.1,3.17,,3.6964756666666667,,-0.057084061,-0.0255867991517299,2.49002853823793,48.6149881013957
ENSG00000008311,,,,,,,0.0230410816876282,,
ENSG00000008323,,2.38,,,4.290296333333333,,,,
ENSG00000008324,165.8,2.63,,2.3113783333333333,3.4476926666666667,-0.184355713,-0.0178873305453671,3.77621541952334,139.41216809461702
ENSG00000008382,,4.0,,,,,0.035903983627374,4.88843615990803,
ENSG00000008394,1114.0,24.0,,36.139603333333326,,-0.042227514,0.0329878362759662,14.20988368625,2555.85979862361
ENSG00000008405,,5.04,2.1603,4.773536333333333,4.659185333333333,-0.108273417,-0.0066624191467061,3.08977387976374,275.8754790896
ENSG00000008438,,2.3,,,,,,,
ENSG00000008441,,5.11,1.1125500000000001,1.7992486666666665,,-0.092450065,0.0357832843843343,4.32530891767641,261.923126919398
ENSG00000008513,,2.33,,,,-0.249446519,-0.0963609701873373,2.42456847093763,
ENSG00000008516,,3.51,,,,,,,
ENSG00000008710,,3.57,0.9249499999999999,6.196075333333333,,-0.090821045,-0.0506444724722958,2.69256529259992,
ENSG00000008735,,,,,,,0.0418750312149941,4.14990008112908,
ENSG00000008838,558.7,16.24,5.6611,20.402313333333336,,-0.041423657,0.0338692694717362,5.51055419721431,518.954283077209
ENSG00000008853,128.5,3.85,,1.4913863333333335,,,-0.0468700343753636,2.85465024999248,
ENSG00000008869,420.1,4.17,,3.088086666666667,5.351764666666665,-0.167324995,0.0155196738138662,2.82740064273739,278.435263259822
ENSG00000008952,,4.0,2.0256,2.8513020000000004,4.893210333333333,-0.142204406,0.00614259114420471,3.75967216986652,384.50123472586
ENSG00000008988,336.1,,8.7911,,,,0.0532290195305415,,477.669634919485
ENSG00000009307,491.9,20.77,7.648199999999999,18.520860000000003,,-0.067685991,0.0411123773660095,11.9845758872384,516.8525074729309
ENSG00000009335,204.5,6.32,0.9744999999999999,3.241246,4.7700846666666665,-0.179734669,-0.0102535126521022,3.45893863795289,217.029045555266
ENSG00000009413,226.6,2.63,0.5557,1.8195293333333336,2.4634486666666664,-0.201093909,-0.0688088105244345,2.68454425845197,122.67231247557
ENSG00000009694,,10.25,,7.444725666666668,,-0.119342807,-0.0334423812295334,,
ENSG00000009724,,,,,,,-0.0295190836132038,3.40062589074851,
ENSG00000009780,231.2,3.64,,4.582604333333333,9.149173666666668,-0.146375088,0.0243874108813257,2.91790158331428,180.41858731589699
ENSG00000009790,219.7,,,0.9907114,1.0720643,,-0.230707489632915,,
ENSG00000009830,,3.64,,9.251461333333333,,-0.040952577,0.0357236891196743,3.63621977250998,110.038966526891
ENSG00000009844,481.4,8.57,3.1492,7.094489333333333,8.088769333333333,-0.146029763,0.0317745867914339,3.89549731407691,263.703834852826
ENSG00000009950,,,,,,,0.0959353804619093,2.61709637933069,
ENSG00000009954,330.1,5.26,1.5224,2.013431,2.3574696666666664,-0.163120925,-0.00573343620475856,3.09486875697526,161.49502842601
ENSG00000010017,207.3,6.0,1.51485,3.4210510000000003,4.364045,-0.153621603,0.0227126539264127,3.62573458115283,319.549695802623
ENSG00000010072,,2.56,0.45205,1.434509,1.9635563333333332,-0.14629238,-0.0350670232226148,2.47695059072571,111.36551451955299
ENSG00000010165,,3.23,0.9083000000000001,1.7655520000000002,4.313159,-0.155181632,-0.0102567013299974,2.63286511929251,390.591453760385
ENSG00000010219,,4.36,,13.253473333333332,,-0.060238201,0.0329942003110761,3.19286253909112,1549.84789020923
ENSG00000010244,174.1,7.11,1.8589,5.244166333333332,4.964243000000001,-0.06529458,0.0127321980001404,2.9316579505707,226.230912671825
ENSG00000010256,475.5,,5.5878499999999995,20.93416666666667,11.272883333333333,,0.0508379227807446,,546.828861582354
ENSG00000010270,413.1,6.0,,6.138154333333333,,-0.085986276,0.0439069668871252,4.16952074807408,421.48891495349295
ENSG00000010278,,22.29,,,14.2365,,0.0443508704805953,15.0419034988391,370.32456554412596
ENSG00000010292,635.0,16.89,5.6116,9.143908666666668,15.642576666666665,-0.073621707,0.0401605264478282,3.56968862641751,302.145302054672
ENSG00000010295,,,,,,,0.0146762549068197,2.82245691537,
ENSG00000010310,,,,,,,0.0548921395833861,3.19585464319446,564.057276452074
ENSG00000010318,,2.7,,8.435804,,,0.0758917847261399,2.77195722501818,382.043814254817
ENSG00000010319,,2.74,,,,,0.00115225070355497,2.9577751316244,
ENSG00000010322,228.9,3.23,1.24795,6.0493586666666666,,-0.057711595,-0.0166141009111914,2.92363228787671,385.984218526082
ENSG00000010327,,,,,,-0.634737473,-0.196678357196805,,
ENSG00000010361,,13.44,,11.570474666666668,,,0.0329123163850622,,
ENSG00000010379,,,,,,,,3.11324731423887,
ENSG00000010404,1090.8,17.22,,,,-0.077005103,0.0467326419690205,7.04475867136195,294.121042335696
ENSG00000010539,61.1,2.25,,1.0126280333333333,1.6957546666666667,-0.237348809,-0.0609591301957047,,67.4266205521422
ENSG00000010626,,3.08,,,,,0.0441207818842572,4.96016251757919,946.175866230236
ENSG00000010671,864.1,,,7.721018666666666,,,0.19892567625939,,830.880584261483
ENSG00000010704,,11.13,,7.106722333333333,,,,5.83448714060238,
ENSG00000010803,241.0,3.39,2.0843,6.760778999999999,,-0.055439856,0.011465390394109,3.72236843517148,163.808010758554
ENSG00000010810,315.2,4.2,1.8622999999999998,3.3736523333333337,5.033505333333333,-0.092008851,0.00600785967672765,2.97433774688524,257.574461037197
ENSG00000010818,126.5,2.82,,,1.0753457666666668,,-0.0439798088284708,2.79230479105835,94.64182635892469
ENSG00000011007,,3.85,0.8375,4.2035886666666675,3.460296666666667,-0.175475021,0.0146830514256796,,156.68258543962
ENSG00000011009,538.1,8.78,,10.998683333333334,54.358196666666664,-0.080720594,0.0308984795383647,3.46024926141829,568.957944498546
ENSG00000011021,159.2,2.5,0.52315,9.028936666666667,,-0.14848404,0.00406365471545273,2.30902397130441,137.689190464185
ENSG00000011028,,3.51,,9.181463333333333,,,0.0357605481308222,4.25029062703855,
ENSG00000011052,,,,,,,0.114407133219156,,1039.9786531345699
ENSG00000011105,,16.2,,,,,-0.00155826383918896,4.21167194758821,
ENSG00000011114,169.5,2.74,0.8210000000000001,1.642868,3.0630303333333337,-0.272049697,-0.00359240342611118,2.50795719525411,94.85556730150628
ENSG00000011132,480.3,5.38,,3.368309333333333,7.425702999999999,,-0.00338371537850313,3.22525845746945,1039.6583566845
ENSG00000011143,298.4,5.6,,5.108618333333333,9.389714666666668,-0.100090276,0.0297942075205566,2.89332159374252,1688.8070482471499
ENSG00000011198,245.9,3.64,0.65955,1.8987516666666666,4.460960333333333,-0.142373081,-0.0539811158022933,3.02348657501601,235.99397669070703
ENSG00000011201,,9.58,,,5.551519666666667,,,,
ENSG00000011243,131.8,4.63,1.3293,18.559313333333332,,-0.081546117,0.0196745841056342,3.0711809152415,283.82421058949296
ENSG00000011258,,3.08,1.5766,4.610024,7.895429333333333,-0.115038327,-0.00884761278610961,2.54246465722512,121.681285479539
ENSG00000011260,304.0,4.84,3.6765,3.602294666666667,3.688008333333333,-0.136771507,0.0091113368019895,3.5240715762758,217.575119349617
ENSG00000011275,,3.45,0.8908499999999999,2.6868266666666667,3.6939573333333335,-0.162787918,-0.0159265775515916,2.83763027915889,176.186050615457
ENSG00000011295,389.9,3.7,,12.011083333333334,14.815056666666669,-0.067064366,0.028092320630775,3.67710289716469,516.473568812743
ENSG00000011304,246.7,10.27,2.9599,5.609887666666666,9.93744,-0.064812295,0.0520427379906397,4.46029350904149,329.709717217462
ENSG00000011332,,3.08,,2.8586783333333337,6.184311999999999,-0.101987917,0.00317680362363984,2.7976412599888,
ENSG00000011347,,7.35,,,,,-0.0324648551724252,4.3083155435741,
ENSG00000011376,273.5,9.1,2.57185,6.518322,9.415856333333336,-0.160013355,0.035654950393251,3.77544547151555,181.107021645433
ENSG00000011405,355.0,8.16,1.02085,3.028684,,-0.136360073,0.0395068693372261,3.67609508439426,320.254186466757
ENSG00000011422,,8.31,,3.844409666666667,,-0.216011616,-0.0472994898998555,5.15745672842181,42.681820440754706
ENSG00000011426,370.8,6.72,0.6956,3.094044333333333,11.398159999999999,-0.215426775,-0.00183176312036118,2.95683483185364,163.082152063923
ENSG00000011451,150.9,,1.03475,4.237444333333333,,-0.047406852,0.0244622082909012,4.49645029243719,312.343814619942
ENSG00000011454,265.8,3.03,0.8709,3.746958,,-0.23400898,0.0158463223612661,2.26302766142732,269.847765413096
ENSG00000011465,,,,,,,,6.67681548587398,
ENSG00000011478,,3.33,,16.91047,,,0.0265495063046748,9.60069371646986,1335.89684486238
ENSG00000011485,619.2,10.67,3.2945,9.471441666666665,,-0.059500561,0.0483923045175433,3.88396950321809,623.790084149265
ENSG00000011523,150.6,2.7,,1.6527966666666665,3.321447333333333,-0.144275116,-0.0470265506919257,2.54181066408981,112.462529545024
